t (s), X (px), Y (px), theta (deg), GoalX (px), GoalY (px)
0.00019240379333496094, 84, 119, 119, 96, 48
0.0045185089111328125, 84, 119, 119, 96, 48
0.012378692626953125, 84, 119, 119, 96, 48
0.017493009567260742, 84, 119, 119, 96, 48
0.06204414367675781, 84, 119, 119, 96, 48
0.06609034538269043, 84, 119, 119, 96, 48
0.0756385326385498, 84, 119, 119, 96, 48
0.08240604400634766, 84, 119, 119, 96, 48
0.08414363861083984, 84, 119, 119, 96, 48
0.0864100456237793, 84, 119, 119, 96, 48
0.10253763198852539, 84, 119, 119, 96, 48
0.10712003707885742, 84, 119, 119, 96, 48
0.10852575302124023, 84, 119, 119, 96, 48
0.11023116111755371, 84, 119, 119, 96, 48
0.1138603687286377, 84, 119, 119, 96, 48
0.11786866188049316, 84, 119, 119, 96, 48
0.1197960376739502, 84, 119, 119, 96, 48
0.1414785385131836, 84, 119, 119, 96, 48
0.1435387134552002, 84, 119, 119, 96, 48
0.14475774765014648, 84, 119, 119, 96, 48
0.1462397575378418, 84, 119, -26, 96, 48
0.14771628379821777, 84, 119, -26, 96, 48
0.14882254600524902, 84, 119, -26, 96, 48
0.15000009536743164, 84, 119, -26, 96, 48
0.1511363983154297, 84, 119, -26, 96, 48
0.15221071243286133, 84, 119, -26, 96, 48
0.1532909870147705, 84, 119, -26, 96, 48
0.1544053554534912, 84, 119, -26, 96, 48
0.1555027961730957, 84, 119, -26, 96, 48
0.15658164024353027, 84, 119, -26, 96, 48
0.1623704433441162, 84, 119, -26, 96, 48
0.16368532180786133, 84, 119, -26, 96, 48
0.1649022102355957, 84, 119, -26, 96, 48
0.16755151748657227, 84, 119, 127, 96, 48
0.1728370189666748, 84, 119, 127, 96, 48
0.17587614059448242, 84, 119, 127, 96, 48
0.17861294746398926, 84, 119, 127, 96, 48
0.18113398551940918, 84, 119, 127, 96, 48
0.18791747093200684, 84, 119, 127, 96, 48
0.19850897789001465, 84, 119, 127, 96, 48
0.19978952407836914, 84, 119, 127, 96, 48
0.2040390968322754, 85, 118, 119, 96, 48
0.20622658729553223, 85, 118, 119, 96, 48
0.2080249786376953, 85, 118, 119, 96, 48
0.2227325439453125, 85, 118, 119, 96, 48
0.22607183456420898, 85, 118, 119, 96, 48
0.23879027366638184, 85, 118, 119, 96, 48
0.24288344383239746, 85, 118, 119, 96, 48
0.25228285789489746, 85, 118, 108, 96, 48
0.2538161277770996, 85, 118, 108, 96, 48
0.2547895908355713, 85, 118, 108, 96, 48
0.2557504177093506, 85, 118, 108, 96, 48
0.25670671463012695, 85, 118, 108, 96, 48
0.25766539573669434, 85, 118, 108, 96, 48
0.25864601135253906, 85, 118, 108, 96, 48
0.2624485492706299, 85, 118, 108, 96, 48
0.26381349563598633, 85, 118, 108, 96, 48
0.2650008201599121, 85, 118, 108, 96, 48
0.26695823669433594, 85, 117, 129, 96, 48
0.2681539058685303, 85, 117, 129, 96, 48
0.2692422866821289, 85, 117, 129, 96, 48
0.27042603492736816, 85, 117, 129, 96, 48
0.2715933322906494, 85, 117, 129, 96, 48
0.27284789085388184, 85, 117, 129, 96, 48
0.2776172161102295, 85, 117, 129, 96, 48
0.28962135314941406, 85, 117, 129, 96, 48
0.2910289764404297, 85, 117, 129, 96, 48
0.29223203659057617, 85, 117, 129, 96, 48
0.293546199798584, 85, 117, 129, 96, 48
0.3106677532196045, 86, 118, 132, 96, 48
0.3124082088470459, 86, 118, 132, 96, 48
0.3139333724975586, 86, 118, 132, 96, 48
0.31552839279174805, 86, 118, 132, 96, 48
0.3166499137878418, 86, 118, 132, 96, 48
0.3176732063293457, 86, 118, 132, 96, 48
0.3186306953430176, 86, 118, 132, 96, 48
0.31958842277526855, 86, 118, 132, 96, 48
0.32280707359313965, 86, 118, 132, 96, 48
0.33442068099975586, 86, 118, 132, 96, 48
0.3365204334259033, 86, 118, 132, 96, 48
0.33810997009277344, 86, 117, 130, 96, 48
0.34256577491760254, 86, 117, 130, 96, 48
0.34363794326782227, 86, 117, 130, 96, 48
0.3446328639984131, 86, 117, 130, 96, 48
0.34725284576416016, 86, 117, 130, 96, 48
0.3495633602142334, 86, 117, 130, 96, 48
0.3564720153808594, 86, 117, 130, 96, 48
0.3605213165283203, 86, 117, 130, 96, 48
0.36446571350097656, 86, 117, 130, 96, 48
0.36704325675964355, 86, 117, 130, 96, 48
0.3706088066101074, 86, 117, 130, 96, 48
0.37292003631591797, 88, 115, 132, 96, 48
0.38445329666137695, 88, 115, 132, 96, 48
0.3875401020050049, 88, 115, 132, 96, 48
0.3888840675354004, 88, 115, 132, 96, 48
0.3898952007293701, 88, 115, 132, 96, 48
0.3908686637878418, 88, 115, 132, 96, 48
0.3919680118560791, 88, 115, 132, 96, 48
0.39792847633361816, 88, 115, 132, 96, 48
0.4032256603240967, 89, 115, 125, 96, 48
0.40894341468811035, 89, 115, 125, 96, 48
0.4147305488586426, 89, 115, 125, 96, 48
0.417034387588501, 89, 115, 125, 96, 48
0.4189887046813965, 89, 115, 125, 96, 48
0.43132758140563965, 89, 115, 125, 96, 48
0.43908023834228516, 89, 115, 125, 96, 48
0.44238996505737305, 89, 115, 125, 96, 48
0.44369029998779297, 91, 113, 119, 96, 48
0.4449276924133301, 91, 113, 119, 96, 48
0.4459035396575928, 91, 113, 119, 96, 48
0.4468343257904053, 91, 113, 119, 96, 48
0.44781947135925293, 91, 113, 119, 96, 48
0.44875288009643555, 91, 113, 119, 96, 48
0.44976115226745605, 91, 113, 119, 96, 48
0.4509134292602539, 91, 113, 119, 96, 48
0.4518735408782959, 91, 113, 119, 96, 48
0.4528348445892334, 91, 113, 119, 96, 48
0.45861339569091797, 91, 113, 119, 96, 48
0.4616069793701172, 91, 113, 119, 96, 48
0.47594475746154785, 91, 113, 119, 96, 48
0.488523006439209, 91, 113, 119, 96, 48
0.49691104888916016, 92, 112, 125, 96, 48
0.4988136291503906, 92, 112, 125, 96, 48
0.4997556209564209, 92, 112, 125, 96, 48
0.5008025169372559, 92, 112, 125, 96, 48
0.5017318725585938, 92, 112, 125, 96, 48
0.5026886463165283, 92, 112, 125, 96, 48
0.5037755966186523, 92, 112, 125, 96, 48
0.5047333240509033, 92, 112, 125, 96, 48
0.5056803226470947, 92, 112, 125, 96, 48
0.5066275596618652, 92, 112, 125, 96, 48
0.5075666904449463, 92, 112, 125, 96, 48
0.50850510597229, 92, 112, 125, 96, 48
0.5094499588012695, 92, 112, 125, 96, 48
0.5104646682739258, 92, 112, 125, 96, 48
0.5115957260131836, 92, 112, 125, 96, 48
0.519284725189209, 92, 112, 125, 96, 48
0.537029504776001, 92, 112, 125, 96, 48
0.5417282581329346, 92, 112, 125, 96, 48
0.542971134185791, 92, 112, 125, 96, 48
0.5442008972167969, 92, 112, 125, 96, 48
0.5459239482879639, 92, 112, 125, 96, 48
0.5478780269622803, 92, 112, 125, 96, 48
0.5490114688873291, 92, 112, 125, 96, 48
0.5502724647521973, 92, 112, 125, 96, 48
0.5514416694641113, 92, 112, 125, 96, 48
0.5525281429290771, 92, 112, 125, 96, 48
0.5534701347351074, 92, 112, 125, 96, 48
0.5544066429138184, 92, 112, 125, 96, 48
0.5553576946258545, 92, 112, 125, 96, 48
0.5563006401062012, 92, 112, 125, 96, 48
0.5572354793548584, 92, 112, 125, 96, 48
0.5581834316253662, 92, 112, 125, 96, 48
0.5591175556182861, 92, 112, 125, 96, 48
0.5602853298187256, 92, 112, 125, 96, 48
0.562443733215332, 92, 112, 125, 96, 48
0.5644807815551758, 92, 112, 125, 96, 48
0.5656595230102539, 92, 112, 125, 96, 48
0.5668182373046875, 92, 112, 125, 96, 48
0.5680036544799805, 95, 109, 115, 96, 48
0.5691440105438232, 95, 109, 115, 96, 48
0.570267915725708, 95, 109, 115, 96, 48
0.5832414627075195, 95, 109, 115, 96, 48
0.5885372161865234, 95, 109, 115, 96, 48
0.6001303195953369, 95, 109, 115, 96, 48
0.6050550937652588, 95, 109, 115, 96, 48
0.6078660488128662, 95, 108, 115, 96, 48
0.6096322536468506, 95, 108, 115, 96, 48
0.6108064651489258, 95, 108, 115, 96, 48
0.6118760108947754, 95, 108, 115, 96, 48
0.6129062175750732, 95, 108, 115, 96, 48
0.6139857769012451, 95, 108, 115, 96, 48
0.6149396896362305, 95, 108, 115, 96, 48
